9 2 3 135 0.0000e+00 0.0000e+00 0.0000e+00 0
9 2 3 135 0.0000e+00 0.0000e+00 0.0000e+00 0
7 2 11 385 0.0000e+00 0.0000e+00 0.0000e+00 0
7 18 49 1715 0.0000e+00 0.0000e+00 0.0000e+00 0
7 1 3 105 1.0000e+00 0.0000e+00 0.0000e+00 0
7 1 4 140 1.0000e+00 0.0000e+00 0.0000e+00 0
2 4 8 16 0.0000e+00 0.0000e+00 0.0000e+00 0
2 8 14 28 1.0000e+00 0.0000e+00 0.0000e+00 0
3 2 3 9 1.0000e+00 0.0000e+00 0.0000e+00 0
3 2 3 9 1.0000e+00 0.0000e+00 0.0000e+00 0
4 3 9 36 0.0000e+00 0.0000e+00 0.0000e+00 0
4 14 24 96 0.0000e+00 0.0000e+00 0.0000e+00 0
2 10 22 44 0.0000e+00 0.0000e+00 0.0000e+00 0
2 43 105 210 4.0000e+00 0.0000e+00 0.0000e+00 0
3 9 27 405 0.0000e+00 0.0000e+00 0.0000e+00 0
3 1 26 390 0.0000e+00 0.0000e+00 0.0000e+00 6
4 2 16 176 0.0000e+00 0.0000e+00 0.0000e+00 0
3 4 45 720 4.0561e+06 0.0000e+00 0.0000e+00 0
6 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
6 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
9 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
9 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
12 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
12 1 3 93 4.0000e+00 0.0000e+00 0.0000e+00 0
3 21 41 410 8.0000e+00 0.0000e+00 0.0000e+00 0
2 4 16 160 0.0000e+00 0.0000e+00 0.0000e+00 0
4 15 34 680 0.0000e+00 0.0000e+00 0.0000e+00 0
4 19 57 1140 0.0000e+00 0.0000e+00 0.0000e+00 0
6 0 1 6 0.0000e+00 0.0000e+00 0.0000e+00 0
7 0 1 7 0.0000e+00 0.0000e+00 0.0000e+00 0
8 0 1 8 0.0000e+00 0.0000e+00 0.0000e+00 0
9 0 1 9 0.0000e+00 0.0000e+00 0.0000e+00 0
10 0 1 10 0.0000e+00 0.0000e+00 0.0000e+00 0
11 0 1 11 0.0000e+00 0.0000e+00 0.0000e+00 0
10 2 15 150 1.0000e+00 0.0000e+00 0.0000e+00 0
5 4 7 231 0.0000e+00 0.0000e+00 0.0000e+00 0
11 2 3 195 0.0000e+00 0.0000e+00 0.0000e+00 0
11 3 7 455 0.0000e+00 0.0000e+00 0.0000e+00 0
8 10 20 160 0.0000e+00 0.0000e+00 0.0000e+00 0
10 10 20 240 0.0000e+00 0.0000e+00 0.0000e+00 0
11 10 20 280 0.0000e+00 0.0000e+00 0.0000e+00 0
12 10 20 320 0.0000e+00 0.0000e+00 0.0000e+00 0
5 4 10 50 0.0000e+00 0.0000e+00 0.0000e+00 0
6 4 10 60 0.0000e+00 0.0000e+00 0.0000e+00 0
8 4 10 80 0.0000e+00 0.0000e+00 0.0000e+00 0
5 6 65 325 2.6188e+17 0.0000e+00 6.4472e+04 7
5 113 375 1875 1.8646e+08 0.0000e+00 1.9992e+05 5
8 110 374 2992 1.7399e+17 0.0000e+00 0.0000e+00 5
10 162 377 3770 1.3013e+17 1.0000e+00 0.0000e+00 5
12 67 381 4572 9.5687e+16 0.0000e+00 1.2786e+04 5
12 6 59 708 1.9679e+04 0.0000e+00 1.9996e+05 7
8 0 1 8 0.0000e+00 0.0000e+00 0.0000e+00 0
8 2 4 32 0.0000e+00 0.0000e+00 0.0000e+00 0
